File,Codec,Compress Speed (mb/s),Decompress Speed (mb/s),Ratio
all-titles.bin,DEFLATE_QPL,336.1527163572986,646.1964838713118,4.295882854788113
all-titles.bin,LZ4HC(4),92.3137834101874,2079.944932460785,5.32899228917826
all-titles.bin,LZ4HC(6),53.16153182008396,2218.607927958171,5.602803700616488
all-titles.bin,LZ4HC(9),27.526152952334623,2465.1199199535226,5.709513901174338
all-titles.bin,LZ4HC(12),14.431534657143349,2147.0399302821006,5.770905552646502
all-titles.bin,ZSTD(1),426.65537076118665,1386.6299549738567,5.8846938846836645
all-titles.bin,ZSTD(5),149.23371712723122,1446.9182138857634,6.893136108111644
all-titles.bin,ZSTD(10),58.18027783107091,1547.8659962498864,7.532002563226433
all-titles.bin,ZSTD(16),6.3961404803714315,1479.0719519721138,7.9868128968187335
all-titles.bin,ZSTD(22),1.9942543172657714,1584.7199485415504,8.075043273641318
all-watch-ids-dup.bin,DEFLATE_QPL,318.7197920855354,1505.0656848483616,0.9999364936446874
all-watch-ids-dup.bin,LZ4HC(4),33.40466378208448,3010.131369696723,0.99625159296712
all-watch-ids-dup.bin,LZ4HC(6),33.42527122426959,3386.3977909088135,0.99625159296712
all-watch-ids-dup.bin,LZ4HC(9),32.71881923583395,3187.1979208553535,0.99625159296712
all-watch-ids-dup.bin,LZ4HC(12),31.193071188567078,3010.131369696723,0.9962516069427111
all-watch-ids-dup.bin,ZSTD(1),1806.078821818034,3010.131369696723,0.9999437233491447
all-watch-ids-dup.bin,ZSTD(5),1041.9685510488657,3870.1689038957866,0.9999446772274032
all-watch-ids-dup.bin,ZSTD(10),392.6258308300074,3187.1979208553535,0.9999446772274032
all-watch-ids-dup.bin,ZSTD(16),9.785509238674557,3386.3977909088135,0.9999446772274032
all-watch-ids-dup.bin,ZSTD(22),7.44877160496852,3010.131369696723,0.9999589205005942
all-event-times-dup.bin,DEFLATE_QPL,273.64917331271704,307.85531997680664,1.3886450956237397
all-event-times-dup.bin,LZ4HC(4),35.83501079095104,1425.8562188399465,1.1286422608846387
all-event-times-dup.bin,LZ4HC(6),34.95647504252772,1290.0603884742375,1.1286700679910469
all-event-times-dup.bin,LZ4HC(9),35.50624922406158,1425.8562188399465,1.1286712384218016
all-event-times-dup.bin,LZ4HC(12),28.820498040381896,1425.8562188399465,1.128724506801322
all-event-times-dup.bin,ZSTD(1),416.7887408916767,820.947519938151,1.3968288997134828
all-event-times-dup.bin,ZSTD(5),70.55017749468486,615.7106399536133,1.5271914392671029
all-event-times-dup.bin,ZSTD(10),43.48518163396305,645.0301942371187,1.5398934939004674
all-event-times-dup.bin,ZSTD(16),7.569507727845483,564.4014199574789,1.5612359162328537
all-event-times-dup.bin,ZSTD(22),4.486794991381084,297.7062434940548,2.12114272831954
all-referer-regions-dup.bin,DEFLATE_QPL,409.887861772017,1186.5174946032073,19.772142924654162
all-referer-regions-dup.bin,LZ4HC(4),144.5117461375701,2504.870266384549,16.762799466998082
all-referer-regions-dup.bin,LZ4HC(6),69.15286011491085,2504.870266384549,18.99761747436209
all-referer-regions-dup.bin,LZ4HC(9),17.73708292483158,3757.305399576823,21.3834353314249
all-referer-regions-dup.bin,LZ4HC(12),2.7167790307858444,2817.979049682617,23.561904801774443
all-referer-regions-dup.bin,ZSTD(1),805.1368713378905,1186.5174946032073,20.050766718110594
all-referer-regions-dup.bin,ZSTD(5),274.9247853348895,1408.9895248413086,26.560311511386626
all-referer-regions-dup.bin,ZSTD(10),102.47196544300425,1610.273742675781,28.51094965694239
all-referer-regions-dup.bin,ZSTD(16),14.028520471350925,2504.870266384549,31.121083652918266
all-referer-regions-dup.bin,ZSTD(22),3.138935170907956,2049.439308860085,34.593651804571486
